Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen11perm14 1922.5118581419847033 2.61711553e+00 9.02046723e-01 2.71042182e-03 4.05209018e-03 2.25428145e+00 8.30906943e-03
gen9perm47 1924.6681103953822003 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 3.86439468e+00 8.30906943e-03
gen10perm42 1924.6681103985313257 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 3.86439468e+00 8.30906943e-03
gen11perm50 1924.6804577585455718 2.97190101e+00 9.02046723e-01 2.94620692e-03 3.66094057e-03 3.86439468e+00 8.30906943e-03
gen11perm32 1924.7471787915201276 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 2.33575796e+00 8.30906943e-03
gen10perm1 1924.7471787915201276 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 2.33575796e+00 8.30906943e-03
gen10perm48 1925.0628384868205103 2.78176303e+00 9.79929971e-02 2.99554414e-03 8.18516926e-01 2.33575796e+00 8.56684387e-03
gen11perm43 1926.0954063632780162 3.01192041e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 2.33575796e+00 8.30906943e-03
gen11perm38 1927.5549861931624491 2.88534374e+00 9.02046723e-01 2.94620692e-03 8.18516926e-01 2.33575796e+00 8.56684387e-03
gen11perm44 1928.2703266854555295 2.96006960e+00 9.79929971e-02 2.99554414e-03 8.18516926e-01 2.33575796e+00 8.56684387e-03
gen11perm17 1931.1590481877333332 2.86720590e+00 9.02046723e-01 2.94620692e-03 8.83308385e-01 3.86439468e+00 8.30906943e-03
gen10perm47 1934.5162366231704709 2.80019339e+00 9.02046723e-01 2.91190011e-03 8.18516926e-01 2.44237298e+00 8.30906943e-03
gen11perm18 1934.9830338366791693 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.18516926e-01 3.90979015e+00 8.15556412e-03
gen8perm8 1935.9380558939380990 2.79214813e+00 9.79929971e-02 2.91190011e-03 8.18516926e-01 2.44237298e+00 8.30906943e-03
gen9perm45 1936.1143360055650646 2.79214813e+00 9.79929971e-02 2.91190011e-03 4.05209018e-03 2.27904937e+00 8.30906943e-03
gen11perm48 1936.2244918556502853 2.79214813e+00 9.02046723e-01 2.91190011e-03 4.36248900e-03 2.27904937e+00 8.30906943e-03
gen10perm36 1944.6114147799808052 2.79214813e+00 9.79929971e-02 2.71042182e-03 4.05209018e-03 2.25428145e+00 8.30906943e-03
gen11perm25 1944.6836003551989052 2.79214813e+00 9.79929971e-02 2.71042182e-03 3.93512370e-03 2.31280179e+00 8.30906943e-03
gen9perm40 1944.6836092889457177 2.79214813e+00 9.79929971e-02 2.71042182e-03 3.93512370e-03 2.31280179e+00 8.30906943e-03
gen11perm24 1944.9369658898231137 2.79214813e+00 9.79929971e-02 2.71042182e-03 3.89540217e-03 2.54341458e+00 8.30906943e-03
gen11perm42 1945.4609186669124483 2.97190101e+00 8.91528913e-01 2.94620692e-03 8.90954698e-01 2.33575796e+00 8.56684387e-03
gen11perm13 1947.4615035688079843 2.79214813e+00 1.02306703e-01 2.94620692e-03 8.18516926e-01 2.33575796e+00 8.30906943e-03
gen11perm47 1947.4640010368539151 2.79214813e+00 9.79929971e-02 2.94620692e-03 4.05209018e-03 2.33575796e+00 8.30906943e-03
gen9perm46 1947.5419652567470621 2.79214813e+00 8.39488952e-01 2.94620692e-03 8.18516926e-01 2.33731070e+00 8.30906943e-03
gen11perm49 1947.5488104170665338 2.79214813e+00 8.80021279e-01 2.94620692e-03 9.09066258e-01 2.33575796e+00 8.30906943e-03
gen9perm39 1947.5512971524235581 2.79214813e+00 9.02046723e-01 2.94620692e-03 8.18516926e-01 2.33575796e+00 8.30906943e-03
gen10perm41 1947.5798729804832874 2.79214813e+00 9.02046723e-01 2.94620692e-03 4.05209018e-03 2.33575796e+00 8.30906943e-03
gen8perm30 1947.5798729804832874 2.79214813e+00 9.02046723e-01 2.94620692e-03 4.05209018e-03 2.33575796e+00 8.30906943e-03
gen11perm36 1949.3249408576198221 2.97190101e+00 9.79929971e-02 3.21143606e-03 8.79394364e-01 2.33575796e+00 8.56684387e-03
gen11perm35 1952.5085012533877489 2.84390434e+00 9.02046723e-01 2.99554414e-03 8.18516926e-01 2.51489566e+00 8.30906943e-03
gen10perm2 1958.1314012054319846 2.86720590e+00 9.02046723e-01 2.94620692e-03 8.18516926e-01 3.69719420e+00 8.15556412e-03
gen11perm41 1971.8361919965686866 2.78176303e+00 8.83899037e-02 2.99554414e-03 8.79394364e-01 3.86439468e+00 8.30906943e-03
gen11perm37 1973.3364769353322572 2.78176303e+00 9.79929971e-02 2.99554414e-03 8.18516926e-01 2.52363624e+00 8.30906943e-03
gen11perm22 1980.8105572440233573 2.86720590e+00 9.02046723e-01 2.94620692e-03 7.95561011e-01 3.69719420e+00 8.07025509e-03
gen11perm7 1987.0560711211969647 2.79214813e+00 9.02046723e-01 2.94620692e-03 8.18516926e-01 2.33575796e+00 8.15556412e-03
