Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen21perm40 1913.5725716043841658 2.59804432e+00 1.00238032e+00 2.99922763e-03 8.03143096e-01 2.65956327e+00 9.00787887e-03
gen21perm50 1915.5273127997456868 2.58440573e+00 1.00238032e+00 2.91190011e-03 8.79394364e-01 2.59603119e+00 8.83344136e-03
gen21perm23 1915.6712141253080972 2.61711553e+00 9.02046723e-01 2.94620692e-03 9.52532280e-01 3.59046335e+00 8.83344136e-03
gen21perm31 1915.7950324834246203 2.61711553e+00 9.11835001e-01 2.94620692e-03 4.05209018e-03 2.59929062e+00 8.83344136e-03
gen20perm38 1915.8063166722963615 2.61711553e+00 1.00238032e+00 2.94620692e-03 8.40282004e-01 2.51432455e+00 8.83344136e-03
gen20perm47 1915.8428363955736131 2.61711553e+00 1.09600431e+00 2.94620692e-03 8.40282004e-01 2.37793120e+00 8.83344136e-03
gen21perm22 1915.8691063667113212 2.61711553e+00 9.54260292e-01 2.94620692e-03 3.72257106e-03 2.25428145e+00 8.83344136e-03
gen21perm34 1915.8724875799266556 2.61213474e+00 8.17039762e-01 2.94620692e-03 4.05209018e-03 2.51432455e+00 8.83344136e-03
gen19perm16 1915.8828014648897806 2.61213474e+00 8.17039762e-01 2.92497208e-03 4.05209018e-03 3.55165248e+00 8.83344136e-03
gen21perm37 1915.8839727841987042 2.61711553e+00 1.01669128e+00 2.94620692e-03 3.72257106e-03 2.22539240e+00 8.83344136e-03
gen20perm43 1915.9160061848840542 2.64924091e+00 9.60018103e-01 2.96164491e-03 4.05209018e-03 3.61776031e+00 8.83344136e-03
gen20perm3 1916.0596982529332308 2.61711553e+00 9.02046723e-01 2.92475828e-03 8.51679792e-01 2.25428145e+00 8.83344136e-03
gen21perm1 1916.0676798957058509 2.61711553e+00 8.77191719e-01 2.92475828e-03 3.72257106e-03 2.25428145e+00 8.83344136e-03
gen19perm3 1916.0690441516687770 2.61711553e+00 9.02046723e-01 2.92475828e-03 3.92714851e-03 2.22539240e+00 8.83344136e-03
gen18perm34 1916.0707903471400186 2.61711553e+00 9.02046723e-01 2.92475828e-03 3.72257106e-03 2.25428145e+00 8.83344136e-03
gen20perm36 1916.0708018652583178 2.61711553e+00 9.02046723e-01 2.92475828e-03 3.72257106e-03 2.25428145e+00 8.83344136e-03
gen20perm7 1916.0712523340125699 2.61711553e+00 1.00238032e+00 2.92475828e-03 8.40282004e-01 2.26233196e+00 8.83344136e-03
gen21perm15 1916.0726814721035680 2.61711553e+00 9.81885749e-01 2.92475828e-03 8.03664511e-01 2.34890736e+00 8.83344136e-03
gen19perm13 1916.0749301513499177 2.61711553e+00 1.00238032e+00 2.92475828e-03 8.40282004e-01 2.34890736e+00 8.83344136e-03
gen21perm14 1916.0749857440353026 2.61711553e+00 1.00238032e+00 2.92475828e-03 7.45467081e-01 2.34890736e+00 8.83344136e-03
gen17perm19 1916.0821008411587627 2.61711553e+00 1.00238032e+00 2.92475828e-03 8.79394364e-01 2.51432455e+00 8.83344136e-03
gen21perm6 1916.1045335812495978 2.61711553e+00 8.49398092e-01 2.92384430e-03 4.05209018e-03 2.25428145e+00 8.83344136e-03
gen21perm2 1916.1135638291721079 2.61711553e+00 9.02046723e-01 2.92475828e-03 8.73970595e-01 3.59046335e+00 8.83344136e-03
gen20perm50 1916.1200476348926713 2.64924091e+00 7.52133062e-01 2.97540976e-03 9.25513447e-01 2.38122537e+00 8.83344136e-03
gen21perm18 1916.1232853692019944 2.61711553e+00 9.02046723e-01 2.92475828e-03 4.05209018e-03 3.59046335e+00 8.83344136e-03
gen20perm25 1916.1240959637320884 2.61711553e+00 9.02046723e-01 2.92475828e-03 3.72257106e-03 3.59046335e+00 8.83344136e-03
gen19perm50 1916.1240959637320884 2.61711553e+00 9.02046723e-01 2.92475828e-03 3.72257106e-03 3.59046335e+00 8.83344136e-03
gen20perm33 1916.1248072198088721 2.61711553e+00 1.00238032e+00 2.92475828e-03 8.79394364e-01 3.59046335e+00 8.83344136e-03
gen21perm39 1916.4565078975865617 2.64924091e+00 1.00238032e+00 2.94620692e-03 8.40282004e-01 2.26233196e+00 8.83344136e-03
gen20perm30 1916.4571139148920338 2.64924091e+00 9.53672759e-01 2.94620692e-03 8.79394364e-01 2.33120420e+00 8.83344136e-03
gen19perm17 1916.4592911649062899 2.64924091e+00 9.36153030e-01 2.94620692e-03 9.25513447e-01 2.37969553e+00 8.83344136e-03
gen21perm12 1916.4592911921922678 2.64924091e+00 9.36153030e-01 2.94620692e-03 9.25513447e-01 2.37969553e+00 8.83344136e-03
gen20perm28 1916.4617097467798885 2.64924091e+00 9.09427179e-01 2.94620692e-03 8.79394364e-01 2.44237298e+00 8.83344136e-03
gen20perm24 1916.4641040086110024 2.64924091e+00 1.00238032e+00 2.94620692e-03 8.57929364e-01 2.34890736e+00 8.83344136e-03
gen18perm22 1916.4641446412585992 2.64924091e+00 1.00238032e+00 2.94620692e-03 8.40282004e-01 2.34890736e+00 8.83344136e-03
gen17perm39 1916.4643119400354863 2.64924091e+00 1.00238032e+00 2.94620692e-03 3.92714851e-03 2.22539240e+00 8.83344136e-03
gen20perm46 1916.4649709762434213 2.64924091e+00 9.86232587e-01 2.94620692e-03 9.25513447e-01 2.37969553e+00 8.83344136e-03
gen20perm22 1916.4654394814519947 2.64924091e+00 9.02046723e-01 2.94620692e-03 3.92714851e-03 2.37969553e+00 8.83344136e-03
gen21perm45 1916.4667778419409387 2.64924091e+00 1.00238032e+00 2.94620692e-03 9.25513447e-01 2.37969553e+00 8.83344136e-03
gen21perm19 1916.4669095060150994 2.64924091e+00 1.00238032e+00 2.94620692e-03 9.16537161e-01 2.38122537e+00 8.83344136e-03
gen21perm46 1916.4762601196466676 2.64924091e+00 9.86232587e-01 2.94620692e-03 8.79394364e-01 2.51432455e+00 8.83344136e-03
gen20perm14 1916.4780278723137599 2.64924091e+00 1.00238032e+00 2.94620692e-03 8.79394364e-01 2.51421158e+00 8.83344136e-03
gen19perm14 1916.4780377820000012 2.64924091e+00 1.00238032e+00 2.94620692e-03 8.79394364e-01 2.51432455e+00 8.83344136e-03
gen16perm46 1916.4780461266502698 2.64924091e+00 1.00238032e+00 2.94620692e-03 8.79394364e-01 2.51432455e+00 8.83344136e-03
gen19perm18 1916.4780466170013824 2.64924091e+00 1.00238032e+00 2.94620692e-03 8.22372844e-01 2.51432455e+00 8.83344136e-03
gen20perm45 1916.4805197784771735 2.64924091e+00 9.36153030e-01 2.94620692e-03 4.05209018e-03 2.51432455e+00 8.83344136e-03
gen21perm25 1916.4836045316651507 2.64924091e+00 9.11835001e-01 2.94620692e-03 4.35965277e-03 2.59929062e+00 8.83344136e-03
gen20perm42 1916.4843199303882102 2.64924091e+00 9.11835001e-01 2.94620692e-03 4.05209018e-03 2.59929062e+00 8.83344136e-03
gen19perm19 1916.4866610869673877 2.64924091e+00 9.86232587e-01 2.94620692e-03 4.05209018e-03 2.51432455e+00 8.83344136e-03
gen21perm29 1916.4886429091084210 2.64924091e+00 1.00238032e+00 2.94620692e-03 4.05209018e-03 2.51421158e+00 8.83344136e-03
