Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen43perm9 1890.4656620696309801 2.23536713e+00 9.86956012e-01 3.59655428e-03 3.92714851e-03 2.99098485e+00 1.10634457e-02
gen43perm43 1890.6197440813491539 2.23536713e+00 9.23406929e-01 3.59655428e-03 3.54847705e-03 2.59451174e+00 1.10634457e-02
gen43perm12 1890.6694201146233354 2.23536713e+00 8.23770699e-01 3.59655428e-03 3.54847705e-03 2.46828120e+00 1.10634457e-02
gen42perm11 1891.6872720944134016 2.30095216e+00 8.27933431e-01 3.59655428e-03 3.54847705e-03 2.54356241e+00 1.10634457e-02
gen41perm49 1891.6931006459285527 2.30095216e+00 8.75303991e-01 3.59655428e-03 3.54847705e-03 2.54356241e+00 1.10634457e-02
gen42perm45 1892.3398056713601818 2.00069889e+00 1.04802163e+00 3.19775504e-03 3.94423562e-03 2.59451174e+00 1.08659873e-02
gen43perm5 1892.8085322427798474 2.09131573e+00 1.04802163e+00 3.35448981e-03 3.94423562e-03 2.59451174e+00 1.08659873e-02
gen43perm16 1893.0770122611509123 2.30095216e+00 8.75303991e-01 3.58894589e-03 4.32041606e-03 2.63620781e+00 1.08659873e-02
gen43perm32 1893.1462951238968344 2.14777258e+00 8.10146232e-01 3.35448981e-03 4.32041606e-03 2.59451174e+00 1.08659873e-02
gen39perm42 1893.1763839124087099 2.14777258e+00 1.04802163e+00 3.35448981e-03 3.94423562e-03 2.59451174e+00 1.08659873e-02
gen42perm34 1893.1832153201901292 2.14777258e+00 1.03872292e+00 3.35448981e-03 4.32041606e-03 2.63620781e+00 1.08659873e-02
gen42perm49 1894.1475380813594711 2.20730084e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen43perm21 1894.1895042951516643 2.11389377e+00 1.04802163e+00 3.33596896e-03 3.91672425e-03 2.88499212e+00 1.07482614e-02
gen43perm44 1894.2079793953994340 2.20599220e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.39798638e+00 1.06201730e-02
gen41perm29 1894.9676200644883011 2.09131573e+00 8.75303991e-01 3.19775504e-03 3.92714851e-03 2.32109323e+00 1.06201730e-02
gen38perm50 1894.9891331099079252 2.09131573e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.32109323e+00 1.06201730e-02
gen42perm19 1894.9902145787173140 2.09131573e+00 1.04802163e+00 3.19775504e-03 3.61962447e-03 2.32109323e+00 1.06201730e-02
gen42perm10 1895.0085145535997526 2.23536713e+00 8.94827444e-01 3.35448981e-03 3.94423562e-03 2.46828120e+00 1.06177953e-02
gen43perm37 1895.0089856929771486 2.23536713e+00 8.94827444e-01 3.35448981e-03 3.77321040e-03 2.46828120e+00 1.06177953e-02
gen38perm9 1895.0174834564679713 2.30095216e+00 1.04802163e+00 3.42452851e-03 3.94423562e-03 2.59451174e+00 1.06201730e-02
gen42perm22 1895.0271792284625008 2.09131573e+00 1.04802163e+00 3.19775504e-03 4.13803727e-03 2.59451174e+00 1.06201730e-02
gen43perm36 1895.0278008499333282 2.09131573e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen40perm16 1895.0278008499333282 2.09131573e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen40perm27 1895.0278008499333282 2.09131573e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen42perm7 1895.0392121609647802 2.23536713e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.40750296e+00 1.06201730e-02
gen42perm26 1895.0628313833888114 2.23536713e+00 1.04802163e+00 3.35448981e-03 3.89224807e-03 2.42172248e+00 1.06201730e-02
gen42perm21 1895.0642873906490422 2.23536713e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen42perm25 1895.0642873906490422 2.23536713e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen41perm44 1895.0642873906490422 2.23536713e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen40perm48 1895.0642873906490422 2.23536713e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen37perm18 1895.0642916855319982 2.23536713e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen42perm20 1895.0646635278937993 2.23536713e+00 8.75303991e-01 3.35448981e-03 3.79382388e-03 2.59451174e+00 1.06201730e-02
gen42perm50 1895.0646969495162466 2.23536713e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.59451174e+00 1.06201730e-02
gen38perm37 1895.0646969495162466 2.23536713e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.59451174e+00 1.06201730e-02
gen41perm17 1895.0702864291579317 2.23536713e+00 9.23406929e-01 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen43perm34 1895.0707289091519669 2.23536713e+00 9.23406929e-01 3.35448981e-03 3.77321040e-03 2.59451174e+00 1.06201730e-02
gen42perm36 1895.0770825662796142 2.23536713e+00 9.74566285e-01 3.35448981e-03 3.77321040e-03 2.59451174e+00 1.06201730e-02
gen38perm7 1895.0773699440642304 2.23536713e+00 9.23406929e-01 3.35448981e-03 3.92714851e-03 2.65033140e+00 1.06201730e-02
gen42perm18 1895.0804004255169275 2.23536713e+00 9.23406929e-01 3.35448981e-03 3.92714851e-03 2.67438312e+00 1.06201730e-02
gen41perm30 1895.0857653309888065 2.23536713e+00 1.04802163e+00 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen40perm5 1895.0862330371642201 2.23536713e+00 1.04802163e+00 3.35448981e-03 3.79382388e-03 2.59451174e+00 1.06201730e-02
gen43perm31 1895.0899626266125324 2.23536713e+00 1.03872292e+00 3.35448981e-03 3.92714851e-03 2.63620781e+00 1.06201730e-02
gen43perm39 1895.0929102366603729 2.23536713e+00 1.04802163e+00 3.35448981e-03 3.92714851e-03 2.65033140e+00 1.06201730e-02
gen43perm33 1895.0951314636622556 2.23536713e+00 1.04195611e+00 3.35448981e-03 3.92714851e-03 2.67438312e+00 1.06201730e-02
